"일자","기관","분야","건수"
"2025-08-28","서울특별시 동대문구","교통","153"
"2025-08-28","서울특별시 동대문구","도로","21"
"2025-08-27","서울특별시 동대문구","교통","226"
"2025-08-27","서울특별시 동대문구","도로","22"
"2025-08-26","서울특별시 동대문구","교통","169"
"2025-08-26","서울특별시 동대문구","도로","38"
"2025-08-25","서울특별시 동대문구","교통","198"
"2025-08-25","서울특별시 동대문구","도로","21"
"2025-08-24","서울특별시 동대문구","교통","60"
"2025-08-24","서울특별시 동대문구","도로","18"
"2025-08-23","서울특별시 동대문구","교통","62"
"2025-08-23","서울특별시 동대문구","도로","10"
"2025-08-22","서울특별시 동대문구","교통","97"
"2025-08-22","서울특별시 동대문구","도로","28"
"2025-08-21","서울특별시 동대문구","교통","247"
"2025-08-21","서울특별시 동대문구","도로","40"
"2025-08-20","서울특별시 동대문구","교통","271"
"2025-08-20","서울특별시 동대문구","도로","27"
"2025-08-19","서울특별시 동대문구","교통","251"
"2025-08-19","서울특별시 동대문구","도로","31"
"2025-08-18","서울특별시 동대문구","교통","166"
"2025-08-18","서울특별시 동대문구","도로","26"
"2025-08-17","서울특별시 동대문구","교통","212"
"2025-08-17","서울특별시 동대문구","도로","15"
"2025-08-16","서울특별시 동대문구","교통","223"
"2025-08-16","서울특별시 동대문구","도로","28"
"2025-08-15","서울특별시 동대문구","교통","216"
"2025-08-15","서울특별시 동대문구","도로","30"
"2025-08-14","서울특별시 동대문구","교통","248"
"2025-08-14","서울특별시 동대문구","도로","42"
"2025-08-13","서울특별시 동대문구","교통","203"
"2025-08-13","서울특별시 동대문구","도로","27"
"2025-08-12","서울특별시 동대문구","교통","243"
"2025-08-12","서울특별시 동대문구","도로","24"
"2025-08-11","서울특별시 동대문구","교통","257"
"2025-08-11","서울특별시 동대문구","도로","41"
"2025-08-10","서울특별시 동대문구","교통","222"
"2025-08-10","서울특별시 동대문구","도로","15"
"2025-08-09","서울특별시 동대문구","교통","188"
"2025-08-09","서울특별시 동대문구","도로","28"
"2025-08-08","서울특별시 동대문구","교통","254"
"2025-08-08","서울특별시 동대문구","도로","30"
"2025-08-07","서울특별시 동대문구","교통","254"
"2025-08-07","서울특별시 동대문구","도로","27"
"2025-08-06","서울특별시 동대문구","교통","236"
"2025-08-06","서울특별시 동대문구","도로","21"
"2025-08-05","서울특별시 동대문구","교통","254"
"2025-08-05","서울특별시 동대문구","도로","37"
"2025-08-04","서울특별시 동대문구","교통","185"
"2025-08-04","서울특별시 동대문구","도로","22"
"2025-08-03","서울특별시 동대문구","교통","190"
"2025-08-03","서울특별시 동대문구","도로","20"
"2025-08-02","서울특별시 동대문구","교통","211"
"2025-08-02","서울특별시 동대문구","도로","17"
"2025-08-01","서울특별시 동대문구","교통","217"
"2025-08-01","서울특별시 동대문구","도로","45"
"2025-07-31","서울특별시 동대문구","교통","259"
"2025-07-31","서울특별시 동대문구","도로","30"
"2025-07-30","서울특별시 동대문구","교통","246"
"2025-07-30","서울특별시 동대문구","도로","39"
"2025-07-29","서울특별시 동대문구","교통","230"
"2025-07-29","서울특별시 동대문구","도로","42"
