"일자","기관","분야","건수"
"2025-08","서울특별시 동대문구","교통","5,713"
"2025-08","서울특별시 동대문구","도로","751"
"2025-07","서울특별시 동대문구","교통","6,592"
"2025-07","서울특별시 동대문구","도로","997"
"2025-06","서울특별시 동대문구","교통","5,999"
"2025-06","서울특별시 동대문구","도로","977"
"2025-05","서울특별시 동대문구","교통","5,580"
"2025-05","서울특별시 동대문구","도로","977"
"2025-04","서울특별시 동대문구","교통","5,629"
"2025-04","서울특별시 동대문구","도로","838"
"2025-03","서울특별시 동대문구","교통","5,715"
"2025-03","서울특별시 동대문구","도로","781"
"2025-02","서울특별시 동대문구","교통","4,722"
"2025-02","서울특별시 동대문구","도로","497"
"2025-01","서울특별시 동대문구","교통","4,723"
"2025-01","서울특별시 동대문구","도로","556"
"2024-12","서울특별시 동대문구","교통","30"
"2024-12","서울특별시 동대문구","도로","1"
"2024-11","서울특별시 동대문구","교통","6,626"
"2024-11","서울특별시 동대문구","도로","899"
"2024-10","서울특별시 동대문구","교통","5,689"
"2024-10","서울특별시 동대문구","도로","692"
"2024-09","서울특별시 동대문구","교통","6,160"
"2024-09","서울특별시 동대문구","도로","801"
