title,registeredAt,content,type
노후 도로포장,2025-08-13,"동대문구의 더나은 발전을 기원합니다. 이전 연도에도 요구했던 사항인데 예산확보되면 하겠다는 답만 들어서 다시 요구합니다. 이문동354-3번지 도로(외대앞역사거리, 농협건물옆 이면도로)가 노후되어 담배피우고 쓰레기 버리는 장소가 되고 이륜차 승용차까지 주차되어 이곳을 다니기에 불편함이 많아, 더구나 이곳은 재개발 장소도 아니여서 도로포장 환경개선이 꼭 필요합니다.",도로 시설
동대문구 이문로9길 주차 단속 문의,2025-07-21,"첨부한 그림의 도로 (이문로 9길)의 주차 단속에 대한 명확한 규정에 대해 궁금해서 이렇게 연락을 드립니다. 해당 도로가 주차단속이 되는 이유(즉 명문 규정)을 정확히 알고 싶습니다. 도로교통법 32조의 아래 규정에서 어디에 해당하는지 알려주세요.",주정차
이문뉴타운 초중고등학생 등하교 교통 대책 문의,2025-04-21,"이문뉴타운의 경우 별도의 도로확장이 어려운 상태라서, 출근시간대에는 도로정체가 심한 상황인데 초중등학생들의 경우 이용하기에 먼 학교들(래미안 라그란데 2단지의 경우 청량초등학교, 래미안 라그란데 1,2단지 중고등학생의 경우 여아의 경우는 경희여중고, 청량중고 남아의 경우는 경희중고, 청량중고)로 버스나 자가용을 이용해서 통학을 하고 있고, 앞으로 학생 통학 관련 수요가 늘어날걸로 예상이 되는데1. 등하교시 개별학교별로 셔틀버스 지원 등의 교통 대책이 있는지?2. 강남구등 일부 지차에서는  초중고등 학생에게 교통비를 지원하고 있는데 혹시 동대문구에서도 학생 교통비를 지원하는 거에 대해서 검토하고 있는지?",교통 운영
이문동 교통개선 대책의 정답은 수인분당선 증차입니다.,2025-04-16,"수인분당선 증차가 되면 이문동 교통 개선에 획기적일 것으로 생각됩니다. 결국 강남 접근성이 중요한데, 수인분당선이 증차되면 청량리에서 환승이 가능하므로 출퇴근 시간에 교통혼잡이 많이 개선될 것으로 생각됩니다.",교통 운영
이문 휘경 도로관련 문제와 신이문역 증개축 관련,2025-04-14,"안녕하세요!! 동대문구 발전에 늘 힘써 주심에 감사드립니다. 다름이 아니오라 최근 많은 커뮤니티(유튜브 등)에 이문동 도로관련하여 많은 문제점이 지적되고 있는걸로 알고있습니다. 하여 기존에 기사를 검색하던 중 이미 한참 오래전부터 이문 휘경관련 도로문제에 대해 인지하고 해결 방안에 대해 고민한 흔적을 보았으나 결론은? 답이 없다..라는 이유로 여지껏 수수방관으로 그냥 방치하여 현재에 결과에 이르게 되었습니다.",도로 시설
이문휘경뉴타운 교통대책 TF 구성 요청의 건,2025-04-10,"존경하는 동대문구 구청장님 안녕하십니까? 불철주야 동대문구 시정에 애쓰신 결과로 대한민국내 타 지자체장의 모범이 되신 구청장님을 저희 이문휘경뉴타운 입주자들은 늘 응원하고 있습니다. 이문아이파크자이가 올해 11월에 3번째 입주 예정되어 있는 바 확장하지 못한 도로사정을 두고 각종 주요 언론에서 '지옥이 열린다' 선동을 하는 바 (한경신문 : '이 길은 곧 지옥이 됩니다')",교통 운영
신호등 설치건,2025-02-20,"저는 신이문 체육센터 테니스장에서 운동을 하고 있는 동대문구 주민입니다. 오늘 아침 9시경 운동을 마치고 귀가 중 신이문 역 3번 출구 주차장에서 4차 선 도로 한천로 58길 도로 을 좌회전 하기 위해서 건널목 앞에 차량을 멈춰 세웠습니다.",교통 운영
이문동에서 휘경동 가는 마을버스 노선 신설 요청,2025-02-11,"이문동에서 휘경동 가는 마을버스 노선 신설 요청. 안녕하세요. 이번에 라그란데에 입주한 구민입니다. 이문동과 휘경동은 바로 옆 인데 대중교통으로 바로 갈 수 있는 방법이 없는 것 같아 글을 올립니다.",교통 운영
이문 라그란데 래미안 신축 아파트 도로 공사 시간 조정 긴급 요청,2025-01-23,"이문동 라그란데 래미안 신축 아파트 공사와 관련하여 도로 공사로 인한 심각한 교통 체증 문제를 말씀드리고자 합니다. [현재 상황] 해당 도로는 2차선으로, 평소에도 여러 대의 버스가 통행하여 혼잡한 구간입니다. 아파트 신축으로 인한 도로 공사가 진행 중입니다.",도로 시설
한천로 58길 교통사고 방지를 위한 안내판.거울 등 설치 부탁드립니다,2024-12-19,"한천로 58길에서 신이문역 2번출구 쪽으로 많은 버스들과 차량이 들어옵니다. 우회전 하는 쪽에 횡단보도가 있음에도 많은 버스나 차량이 멈추지 않고 빠른 속도로 진입해서 교통사고를 당할뻔함 일이 한두번이 아닙니다.",보행자 안전
이문휘경뉴타운 교통대책,2024-10-28,"살기좋은 동대문구를 위해 애써주셔서 감사합니다. 다름아니라, 이미 많은 분들이 민원 넣으셨을턴데요 내년부터 이문휘경뉴타운 입주로 인한 교통대책이 구차원에서 있는건지 궁금합니다 벌써 공사차량의 출퇴근시간만해도 엄청 막히는데요 편도 2차선으로 인해 내년 이 일대 교통이 마비될까 벌써부터 걱정이 태산입니다.",교통 운영
이문1구역 버스 노선 추가 개설,2024-10-16,"이문1구역 입주예정자 입니다. 현재 이문1구역에서 종로까지(종로5가 부터 종각까지) 환승없이 한번에 가는 버스가 273 한대 인걸로 알고있습니다. (273번 버스는 많이 도는 버스노선이라 시간소요가 깁니다.)",교통 운영
구청장님! 이문 3구역~4구역 지하차도 구청 문제가 아니라고 생각합니까?,2023-12-21,"현재 이문로와 외대앞역 지하차도가 좁아서 출퇴근길 교통문제가 심각하고, 이문휘경뉴타운이 완성되어감에 따라 입주민이 폭발적으로 늘어나면 교통문제는 더욱 더 악화될 것은 누가봐도 당연한 상황입니다. 이에 따라 이문 3구역 1, 2단지 사이에 4구역으로 이어지는 도로가 생기면 해당 문제가 어느 정도 완화되리라는 기대감을 품고 있었습니다.",교통 운영
이문 3구역 도로정비 건의,2023-12-12,"안녕하세요 이문동 아이파크 자이를 이번에 분양받은 입주예정자 입니다 이문 3구역 도로정비에 대해 의견드립니다. 이문 3구역은, 이문 아이파크 1단지 2단지 사이에 기부체납 도로가 예정되어 있습니다.",도로 시설
이문 3구역과 4구역간 지하차도 개선 건의,2023-12-11,"안녕하세요 구청장님 저는 이문3구역 입주 예정자입니다. 현재 계획되어 있는 이문 3구역 & 4구역 사이의 지하차도 건설관련하여 개선요청드립니다. 이문휘경뉴타운은 총 13000세대 이상의 큰 정비계획 도시 입니다. 하지만 지금까지 설계된 3구역과 4구역 사이의 지하차도는 단 1차로로 계획되어 있습니다.",교통 운영
